,number,address,banking,bike_stands,name,position_lat,position_lng
63,65,Convention Centre,0,40,CONVENTION CENTRE,53.3474,-6.23852
64,66,New Central Bank,0,40,NEW CENTRAL BANK,53.3471,-6.23475
65,67,The Point,0,40,THE POINT,53.3469,-6.23085
66,68,Hanover Quay,0,40,HANOVER QUAY,53.3441,-6.23715
67,69,Grand Canal Dock,0,40,GRAND CANAL DOCK,53.3426,-6.2387
68,71,Kevin Street,0,40,KEVIN STREET,53.3378,-6.2677
69,72,John Street West,0,31,JOHN STREET WEST,53.3431,-6.27717
70,73,Francis Street,0,30,FRANCIS STREET,53.3421,-6.27523
71,74,Oliver Bond Street,0,30,OLIVER BOND STREET,53.3439,-6.28053
72,75,James Street,0,40,JAMES STREET,53.3435,-6.28741
73,76,Market Street South,0,38,MARKET STREET SOUTH,53.3423,-6.28766
74,77,Wolfe Tone Street,0,29,WOLFE TONE STREET,53.3489,-6.26746
75,78,Mater Hospital,0,40,MATER HOSPITAL,53.36,-6.26483
76,79,Eccles Street East,0,27,ECCLES STREET EAST,53.3581,-6.2656
77,80,St James Hospital (Luas),0,40,ST JAMES HOSPITAL (LUAS),53.3414,-6.29295
78,82,Mount Brown,0,22,MOUNT BROWN,53.3416,-6.29719
79,83,Emmet Road,0,40,EMMET ROAD,53.3407,-6.30819
80,84,Brookfield Road,0,30,BROOKFIELD ROAD,53.339,-6.30022
81,85,Rothe Abbey,0,35,ROTHE ABBEY,53.3388,-6.30395
82,86,Parkgate Street,0,38,PARKGATE STREET,53.348,-6.2918
83,87,Collins Barracks Museum,0,38,COLLINS BARRACKS MUSEUM,53.3475,-6.28525
84,88,Blackhall Place,0,30,BLACKHALL PLACE,53.3488,-6.28164
85,89,Fitzwilliam Square East,0,40,FITZWILLIAM SQUARE EAST,53.3352,-6.2509
86,90,Benson Street,0,40,BENSON STREET,53.3442,-6.23345
87,91,South Dock Road,0,30,SOUTH DOCK ROAD,53.3418,-6.23129
88,92,Heuston Bridge (North),0,40,HEUSTON BRIDGE (NORTH),53.3478,-6.29243
89,93,Heuston Station (Central),0,40,HEUSTON STATION (CENTRAL),53.3466,-6.29692
90,94,Heuston Station (Car Park),0,40,HEUSTON STATION (CAR PARK),53.347,-6.2978
91,95,Royal Hospital,0,40,ROYAL HOSPITAL,53.3439,-6.29706
92,96,Kilmainham Lane,0,30,KILMAINHAM LANE,53.3418,-6.30509
93,97,Kilmainham Gaol,0,40,KILMAINHAM GAOL,53.3421,-6.31002
94,98,Frederick Street South,0,40,FREDERICK STREET SOUTH,53.3415,-6.25685
95,99,City Quay,0,30,CITY QUAY,53.3466,-6.24615
96,100,Heuston Bridge (South),0,25,HEUSTON BRIDGE (SOUTH),53.3471,-6.29204
97,101,King Street North,0,30,KING STREET NORTH,53.3503,-6.27351
98,102,Western Way,0,40,WESTERN WAY,53.3549,-6.26942
99,103,Grangegorman Lower (South),0,40,GRANGEGORMAN LOWER (SOUTH),53.3547,-6.27868
100,104,Grangegorman Lower (Central),0,40,GRANGEGORMAN LOWER (CENTRAL),53.3552,-6.27842
101,105,Grangegorman Lower (North),0,36,GRANGEGORMAN LOWER (NORTH),53.356,-6.27838
102,106,Rathdown Road,0,40,RATHDOWN ROAD,53.3589,-6.28034
103,107,Charleville Road,0,40,CHARLEVILLE ROAD,53.3592,-6.28187
104,108,Avondale Road,0,35,AVONDALE ROAD,53.3594,-6.27614
105,109,Buckingham Street Lower,0,29,BUCKINGHAM STREET LOWER,53.3533,-6.24932
106,110,Phibsborough Road,0,40,PHIBSBOROUGH ROAD,53.3563,-6.27372
107,111,Mountjoy Square East,0,40,MOUNTJOY SQUARE EAST,53.3567,-6.25636
108,112,North Circular Road (O'Connell's),0,30,NORTH CIRCULAR ROAD (O'CONNELL'S),53.3578,-6.25156
109,113,Merrion Square South,0,40,MERRION SQUARE SOUTH,53.3386,-6.24861
110,114,Wilton Terrace (Park),0,40,WILTON TERRACE (PARK),53.3337,-6.24834
111,115,Killarney Street,0,30,KILLARNEY STREET,53.3548,-6.24758
112,116,Broadstone,0,30,BROADSTONE,53.3547,-6.27231
113,117,Hanover Quay East,0,40,HANOVER QUAY EAST,53.3437,-6.23175
